"letter","count_all","count_uppercase","percentage"
"n","29","10","5.776892430278885%"
"e","73","0","14.541832669322709%"
"w","7","1","1.3944223107569722%"
"s","25","0","4.9800796812749%"
"r","35","1","6.972111553784861%"
"u","17","0","3.3864541832669324%"
"i","38","5","7.569721115537849%"
"a","34","8","6.772908366533865%"
"h","20","0","3.9840637450199203%"
"l","29","7","5.776892430278885%"
"c","15","1","2.9880478087649402%"
"o","41","1","8.167330677290837%"
"p","10","4","1.9920318725099602%"
"t","35","4","6.972111553784861%"
"k","3","2","0.5976095617529881%"
"b","7","1","1.3944223107569722%"
"d","20","10","3.9840637450199203%"
"m","16","0","3.187250996015936%"
"v","16","0","3.187250996015936%"
"f","12","1","2.3904382470119523%"
"y","10","0","1.9920318725099602%"
"g","10","1","1.9920318725099602%"
